cmt_num,cmt_writer,cmt_time,cmt_txt
474883_11,공공칠빵으악,24.03.20,케케로22 돈 생각하면 백퍼 상암일텐데 그냥 서울이랑 붙었으면 해요
474883_16,대구강윤성,24.03.20,"fayewong서울, 울산 이렇게 하면 좋을 듯요"
474883_2,H_Crespo,24.03.20,흠
474883_4,륵이,24.03.20,뮌헨 토트넘 파리 빅클럽1팀 해서 가보자 !
474883_5,asapasap,24.03.20,민재 이적안시키려나
474883_6,돼지바,24.03.20,다이어 방한ㄷㄷ
474883_8,AHN JUNG HWAN,24.03.20,응 오지마
474883_9,더범,24.03.20,
474883_10,아이고 의미없다,24.03.20,가보고 싶다
474883_12,로마니정,24.03.20,민재없을것같은데ㅋㅋ
474883_13,폴포그바,24.03.20,아 문수와서 울산이랑 붙자
474883_14,Tensegrity Universe and Philosophy,24.03.20,다이어 K리그 온나
474883_15,빗속의 노란물결,24.03.20,컵대회 하나  만들어~
474883_17,무아조아,24.03.21,예전 같았으면 전북도 참가 비벼 볼만 했을텐데 요새는 뭐 에휴
474774_1,포항아처,24.03.18,야구 하나만 하는데 질도 낮고 가격은 쿠팡보다 비싸서 불만이 많은 분위기더라고요.
474774_6,달려라거북이작성자 본인 여부작성자,24.03.18,"쿠팡은 무료 배송도 있으니까요??K리그와 손잡기전 쿠팡은 OTT3,4권이었는데축구와 손잡고 같이 성장 하는 것 같아기분 좋네요"
474774_2,"Xavi, Gavi",24.03.18,갓팡
474774_3,더범,24.03.18,갓팡
474774_4,K리그사랑축구사랑,24.03.18,그래도 야구 중계질이 축구보다는 훨씬 좋던데. 쿠팡 제외하면
474774_5,달려라거북이작성자 본인 여부작성자,24.03.18,문제는 요즘 tv로 보는 사람이 적고야구는 6시부터 9회까지 진행 해서중간에 모바일 보는게 필수 인데 티빙중계 퀄이 엉망 이더라구요앞으로 좋아지겠지만 서울 시리즈 보니쿠플 따라 가려면 멀었어요
473553_2,나이샤샤,24.03.16,넵 불가눙합니다.
473553_3,사이드쇼밥,24.03.16,없음
473519_1,David Villa,24.03.16,쿠팡 F1 핫 합니다
473519_2,공공칠빵으악,24.03.16,뭣보다 서버 터지는게 걱정임 앱으로만 보는데
473519_3,배우 이세영,24.03.16,쿠팡 야구 가져와요???
473519_4,축구부장작성자 본인 여부작성자,24.03.16,MLB개막전 2경기 서울시리즈하잖아요
473392_1,더범,24.03.15,
473364_1,버츠비,24.03.14,없으면 왠지 그럴 것 같네여...국대 중계 준비도 할테고
473364_2,박종윤팬,24.03.14,야구때문에 못할듯
473364_3,이태석이승준,24.03.14,매 라운드 하는 게 아니다 보니 ㅠㅠ
473364_4,이지금아이유,24.03.14,담주 야구 국대땜에 바쁘다고
470664_1,"Xavi, Gavi",24.03.08,재밌겠다!
470664_4,키나페작성자 본인 여부작성자,24.03.08,관중도 많은데 골 많이 터지길..
470664_2,철면피카츄,24.03.08,이번에 인천 쉽지 않을거 같은데...ㅜㅜ
470664_5,키나페작성자 본인 여부작성자,24.03.08,인천팬이지만 이번에는 매우 어려울 것으로 예상됩니다..만원관중+개막전에 나온 인천의 공격력 아쉬움+인천 잘 잡는 김기동이라 ㅋㅋㅋㅋ
470664_3,진규형,24.03.08,처참하네 진짜
470664_6,축구부장,24.03.08,잉? 이렇게 서울이 열세였나요???
470664_8,키나페작성자 본인 여부작성자,24.03.08,아무래도 리그 순위도 그렇고 인천은 2연속 상스 서울은 2연속 하스고전반적으로 인천 성적이 좋긴 했죠
470664_11,그댄고자,24.03.08,키나페인천이 2연속 상스였나요?
470664_13,시골개,24.03.08,그댄고자옙 22년23년 상스였고21년은 서울인천 둘다 하스였는데 서울이 다득점으로 7위 인천이 8위였어요
470664_7,언젠간 맨유,24.03.08,만원관중 홈첫경기 더비전서울승임
470664_9,전당,24.03.08,한팀이 3골 이상 넣은 경기가 없네요
470664_10,OSMAR,24.03.08,소문난 잔치엔...
470664_12,묘느리미나리,24.03.08,사이드 수비 두텁게하고 u자 빌드업 유지하던 인천 전략에 계속 밀렸어서...올해는 좀 달랐으면
470664_14,시골개,24.03.08,사실 두팀 최근 전력이 비슷한데 경기가 노잼일까봐 걱정.. 두팀 상대전적도 비슷해서 무득점 경기 나오면..ㅠㅠ
470664_15,절공,24.03.08,인천 시원하게 이기자 똥꾸렁내나는 경기력은 안돼..
470664_16,숭늉이 덜 우러났다 야,24.03.09,이야 인천 ㄷㄷ
470639_1,이정효버지,24.03.08,내가 너보고 축구잘하라그랬어?왜 몸싸움을 안해.!!!!
470639_3,일러스트작성자 본인 여부작성자,24.03.08,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
470639_7,케빈대북라이너,24.03.08,+ 장난하냐 임마!!!
470639_5,일러스트작성자 본인 여부작성자,24.03.08,역시 다들 보셨네요 ㅎㅎ
470639_6,공공칠빵으악,24.03.08,역시 저는 축구 다큐가 제일 재미있어요ㅋㅋㅋㅋㅋ
470639_8,사냐아버지.,24.03.09,저도 어제 다 봤는데 재밌어요 ㅎㅎ근데 광주 선수분들이랑 코치분들 신으신 운동화 아시는분 계신가요? 이뻐서 찾아봤는데 안나오네요 ㅜㅜ
470351_1,H_Crespo,24.03.05,재밌는 크리에이터 선발되길~
469431_1,이으뜸(광주FC),24.03.02,지금 쿠팡 떠 있습니다!
469431_2,Leno,24.03.02,쿠플 ㄱㄱ
469431_3,상암벌작성자 본인 여부작성자,24.03.02,감가합니다!
469429_1,3LungPark,24.03.02,트레이닝이랑 경기 때만 윽박지르지 평상시에는 선수들과 허물없이 잘 지내시더라고요 ㅎㅎ
469429_2,외유내강,24.03.02,화끈하게 지적할 것만 하고 뒤끝없는 성격같아서 넘 좋음
469429_3,폴 스콜스,24.03.02,의외로 선수기분 다 살피고있더라고요
469429_4,폴포그바,24.03.02,이름이 머에요?
469429_5,광주 위로,24.03.03,엘로스피릿
467871_1,hmhmhm,24.03.01,고정이에요??!!
467871_2,Dennis Cirkin작성자 본인 여부작성자,24.03.01,넵 올시즌 고정인걸로 알아요.
