cmt_num,cmt_writer,cmt_time,cmt_txt
475364_8,정휘인,24.03.28,드디어 ㅋㅋㅋ
475364_9,최철순,24.03.28,혹시 축하공연 싸이가 아니고 강미나가 한다면?ㅋㅋ
475364_12,다이나믹피치,24.03.28,성지 예상ㅎㅎ
475364_10,이지금아이유,24.03.28,헉
475364_11,마니치,24.03.28,오!
475364_13,다현,24.03.28,오호
475274_1,랜도리,24.03.25,루머를 모름
475274_4,W ROONEY작성자 본인 여부작성자,24.03.25,psy...
475274_11,미니언즈,24.03.25,W ROONEY에?!?!?!?!?! 근데 이번 쿠플픽 경기를 모름 ㅋㅋㅋㅋㅋㅋㅋ찾아봐야겠네요
475274_2,차범근,24.03.25,그 루머를 모름
475274_3,유럽여행,24.03.25,모름..
475274_5,버츠비,24.03.25,아 혹시 싸이가 노래부르러가는게 아니라 쿠플픽하러가는거에요??
475274_6,W ROONEY작성자 본인 여부작성자,24.03.25,모르겠네요... 그냥 보다보다 하다보니 저도 정리가 안되네요
475274_7,이지금아이유,24.03.25,진짜 오는 분위기인데
475274_8,다현,24.03.25,구단에서 초청한 느낌이던데
475274_10,W ROONEY작성자 본인 여부작성자,24.03.25,개막식부터 계속 인스타에 댓 남기던데요? ㅋㅋ
475274_9,강민경,24.03.25,전북이 부른거 같은 느낌
474835_1,스마일리,24.03.19,단감독 단두대매치인가요?
474835_2,발롱도르,24.03.19,봐 줘 라
474835_3,빌 게이츠,24.03.19,쿠플픽 올해도 울산 따라다닐려나.. ㅠ
474835_4,더범,24.03.19,
474835_5,축구부장,24.03.19,"이거야말로 단두대매치, 길로틴매치..이 경기 패하면 페트레스쿠 감독은 솔직히 거취가 어떻게 될지.."
474774_1,포항아처,24.03.18,야구 하나만 하는데 질도 낮고 가격은 쿠팡보다 비싸서 불만이 많은 분위기더라고요.
474774_6,달려라거북이작성자 본인 여부작성자,24.03.18,"쿠팡은 무료 배송도 있으니까요??K리그와 손잡기전 쿠팡은 OTT3,4권이었는데축구와 손잡고 같이 성장 하는 것 같아기분 좋네요"
474774_2,"Xavi, Gavi",24.03.18,갓팡
474774_3,더범,24.03.18,갓팡
474774_4,K리그사랑축구사랑,24.03.18,그래도 야구 중계질이 축구보다는 훨씬 좋던데. 쿠팡 제외하면
474774_5,달려라거북이작성자 본인 여부작성자,24.03.18,문제는 요즘 tv로 보는 사람이 적고야구는 6시부터 9회까지 진행 해서중간에 모바일 보는게 필수 인데 티빙중계 퀄이 엉망 이더라구요앞으로 좋아지겠지만 서울 시리즈 보니쿠플 따라 가려면 멀었어요
474316_1,더범,24.03.17,쿠팡 일해라
474316_2,버츠비작성자 본인 여부작성자,24.03.17,5분전에 여네요 ㄷㄷㄷㄷ
474316_3,더범,24.03.17,버츠비열렸네요
474277_1,호다다다닥,24.03.17,전 TV로 봐서
474277_3,즈믄가람,24.03.17,전 쿠플 잘 나오는데…
474277_4,잔소리 봇작성자 본인 여부작성자,24.03.17,저는 잘 보고 있다가 한번씩 로딩이 걸림
474277_5,H_Crespo,24.03.17,ㅠㅠ
474277_6,사피 알 딘,24.03.17,저도 안끊겼어요 ㅠ
474277_7,잔소리 봇작성자 본인 여부작성자,24.03.17,왜 나만… 이놈들…
474277_8,David Villa,24.03.17,22잘 봄
473364_1,버츠비,24.03.14,없으면 왠지 그럴 것 같네여...국대 중계 준비도 할테고
473364_2,박종윤팬,24.03.14,야구때문에 못할듯
473364_3,이태석이승준,24.03.14,매 라운드 하는 게 아니다 보니 ㅠㅠ
473364_4,이지금아이유,24.03.14,담주 야구 국대땜에 바쁘다고
472569_1,피자빵,24.03.10,설마 제시 린가드라서..ㅋㅋ
471844_1,안녕히개새요여러분 전이세상의굴레,24.03.10,쿠플이용
471844_2,프리카스,24.03.10,전 쿠플
471844_3,축구부장,24.03.10,쿠플
471844_4,호다다다닥,24.03.10,쿠플 배뚠뚠이라
471844_5,주바페,24.03.10,쿠팡
471623_1,축구부장,24.03.10,웃김 ㅎ
471595_1,신해철,24.03.10,리그2 쿠플픽 이라니 ㅎㄷㄷ
471595_2,3LungPark,24.03.10,FC안양에 사위가 ㅋㅋ
471537_1,버츠비,24.03.10,쿠플픽은 이번것까지 한다고 했던듯요장기프로젝트있으니까 유튜브로는 계속 직관다니시지 않을까싶네요ㄷㄷ
471537_2,Clarence Seedorf,24.03.10,되게 일찍 시작하네요
471515_1,프렌테트리콜로,24.03.10,ㅋㅋㅋ
471515_2,프렌테트리콜로,24.03.10,2부라 그런지 중계도 마이너채널에서ㅠ하네요
471515_3,추달,24.03.10,서기철 신연호 조합이라 ㅎㅎ
