num,subject,nick,write_time,views,url,contents
473397,[K리그]K리그2 제3R 종합안내(티케팅+TV생중계+원정직관),ParisSG,24.03.15,470,http://m.cafe.daum.net/rocksoccer/ADs2/473397?searchView=Y,"K리그2 제3R 종합안내(티케팅+TV생중계+원정직관)
# 전경기  쿠팡플레이  온라인 생중계.
3월 16일(토)
14시    천안 시티  대  성남        멕스포츠/SMT        인터파크티켓
고속기차         SRT    수서 <=>천안아산
천안아산역 <= 990 ==> 천안종합운동장
시외버스         성남야탑 <==>천안시외
천안종합터미널(시외) <== 1 / 970 ==> 천안종합운동장
16:30   경남  대  충남아산        생활체육TV            티켓링크
고속기차      온양온천 ==> 새마을/무궁화 ==>아산/천안아산===> KTX ==> 창원중앙
16:30    부천  대  서울 이랜드    BALL TV                인터파크티켓
서울지하철 7호선 // 서해안선         부천종합운동장 역 하차
3월 17일(일)
14시    부산 아이파크  대  김포       IB 스포츠         티켓링크
김포 각지역 ==> 김포골드라인 ==> 김포공항==>서울역(인천공항철도)/고속터미널(서울 9호선)
비행기         서울김포 <==> 부산          대한/에어부산/진에어/제주  등
KTX            서울<=>부산
고속버스     서울경부<==>부산(종합터미널)(노포동)
14시      충북청주  대  안양           생활체육TV       티켓링크
고속/시외      안양/서울경부(고속)/서울호남(시외)<==>청주시외/청주고속(임시)
기차        안양<==>조치원
KTX        광명<==>오송
509   조치원역<=>오송역<=>청주고터(임시)/청주시외사거리<=>사창사거리
101/311  사창사거리<=>청주종합운동장
502  오송역<=>청주고터(임시)/청주시외사거리<=>청주체육관
16:30    안산 그리너스  대  수원 삼성          스카이스포츠/맥스스포츠/SMT    인터파크티켓
수원각지역 ==> 경부선 전철/수인분당선 전철 ==> 수원역 ==> 수인분당선 ==> 고잔 역
광역버스  7070      수원역(AK플라자 앞) <==> 안산문화예술의전당<==>단원구청"
473392,[K리그]K리그1 제3R 종합안내(티케팅+TV생중계+원정직관),ParisSG,24.03.15,438,http://m.cafe.daum.net/rocksoccer/ADs2/473392?searchView=Y,"K리그1 제3R 종합안내(티케팅+TV생중계+원정직관)
# 전경기  쿠팡플레이  온라인 생중계.
3월 16일(토)
14시   대전 하나  대  강원             스카이스포츠         하나원큐 앱 예매(티켓링크 망 연결)
시외버스    원주/춘천시외/강릉시외<==>대전복합;  원주/강릉시외<=>유성시외 (전주시외 출도착)
고속+시외 환승     춘천시외/원주/강릉/속초시외==>동서울==>유성시외
유성금호고터 ==>(호남)서울 (경부)==>춘천시외/원주(+문막)/강릉고터/속초고터
기차 환승              춘천/강릉/(남)원주/만종<=>서울역<=>대전
16:30   대구  대  수원FC             IB 스포츠       티켓링크
기차(KTX/ITX새마을 등)    수원<==>대구(ITX 기차 등)<==>동대구(KTX 등)
고속버스          성남/서울경부<==>서대구고터
16:30   FC 서울  대  제주           스카이스포츠    티켓링크
비행기       제주<=>서울김포          대한/아시아나/제주/진에어/에어부산/티웨이 등
지하철       김포공항<=[인천공항철도: 완행]=>DMC<=[서울 6호선]=>월드컵경기장
3월 17일(일)
14시   포항  대  광주              JTBC 골프&스포츠      티켓링크
고속버스    광주<=>포항고터
포항고속터미널 <=> 209 / 308 / 동해 마을버스 <=> 포항스틸야드
14시   김천 상무  대  전북 현대     스카이스포츠        티켓링크
기차(ITX 새마을 이하)    호남선(정읍/김제/익산)/전라선(남원/전주/익산)/장항선(군산)<=>신탄진/조치원<=[경부선]=>김천
고속기차(KTX/SRT)    호남선(정읍/익산)/전라선(남원/전주/익산)<=>청주오송/천안아산<=[경부선]=>김천구미
16:30  울산 HD  대  인천        JTBC(종편)           티켓링크
비행기        서울김포<=>울산        대한항공 등
기차           인천 각구<=>경인선 전철/인천공항철도<=>서울역/광명역(광역버스)<=>울산
시외버스     인천/인천공항(영종도)<=>신복로터리<=>울산시외터미널
고속버스     서울경부 <=>신복로터리<=>울산고속터미널
울산역 ==> 5004 ==> 신복로터리 ==> 442/707/733 /5004 ==> 문수경기장(북측)
문수경기장(북측 맞은편) ==> 442/733/743/5004 ==> 신복로터리
==> 5004 ==> 울산역"
473364,이번 주말 경기는 쿠플픽 쉬나요?,치얼스,24.03.14,746,http://m.cafe.daum.net/rocksoccer/ADs2/473364?searchView=Y,"쿠팡 일정 보니 쿠플픽 경기가 없네요
야구 이벤트 땜에 그런가;"
473122,K리그1팀의 K리그1 경기와 ACL 경기는 라이트팬의 입장에서 보니 마음이 편하고 비교적 잘 보이네요..,수원블루맨1,24.03.12,128,http://m.cafe.daum.net/rocksoccer/ADs2/473122?searchView=Y,"K리그1과 ACL을 마음 편히 보면서 뭔가 마음이 편하고 잘 보이는 것 같습니다.
그렇다고 수원삼성이 계속 K리그2에 있길 바라는건 아니지만 현실적으로 뭔가 좋지 않은 느낌이 계속 드는건 프런트의 시즌 준비에서 보인 부분이 너무 빠르게 드러나고 있고 십자인대 부상이 2명이나 나온 것이 안타까움이 크네요.
어쨌든 K리그1이 상당한 흥행을 보이고 있고 특히 쿠팡플레이의 K리그 중계가 큰 영향을 끼쳤다고 봅니다. 그리고 아시안컵의 부진과 축협의 독단적 행정에 대해 K리그 팬분들이 목소리를 낸 것이 상당히 고무적으로 다가왔구요!(그렇지만 황선홍 감독 겸직에 대해 좋게 생각하지는 않습니다.)
상위권 팀인 울산과 전북의 ACL 경기와 더불어 서울의 김기동 감독 선임, 이정효 감독의 광주 축구가 반향을 일으키는 부분 등 모든 팀들이 결과에 상관없이 각각의 좋은 축구를 하기 위해 노력하는 모습이 좋아 보입니다.
수원삼성을 K리그1에서 다시 보고 싶은 마음과는 달리 김병수 감독 경질 이후 한없이 냉정하게 바라보고 있는 상황이라 K리그2를 경험하면서 팀이 정상화되는 모습을 보이기를 바랍니다. 갈길이 멀지만 정상화가 되기를 바라네요.
K리그1과 ACL을 마음 편히 보고 있는데 울산과 전북에게는 이 경기의 결과가 초반 행보에 큰 영향을 끼칠 것 같네요.
닉네임에 수원이 있지만 K리그1과 ACL 경기를 중립적 입장에서 보면 더 잘 보일 것 같네요!"
472117,쿠플픽이 ㅋㅋ 이경규가 간다로 바뀜 ㅋㅋ,신해철,24.03.10,103,http://m.cafe.daum.net/rocksoccer/ADs2/472117?searchView=Y,쿠팡은 오히려 나이스 ㅋ
470937,쿠팡 끊기네요 ㅠ,Clarence Seedorf,24.03.09,16,http://m.cafe.daum.net/rocksoccer/ADs2/470937?searchView=Y,에이
470741,김윤상 아나운서가 왜 쿠팡에 나오지? 했는데,버츠비,24.03.09,171,http://m.cafe.daum.net/rocksoccer/ADs2/470741?searchView=Y,"sbs중계를 쿠팡에서 틀어주나보네여 ㄷㄷ
프리한줄"
470664,[이번주 빅매치] 경인더비 최근 10경기 전적,키나페,24.03.08,"1,557",http://m.cafe.daum.net/rocksoccer/ADs2/470664?searchView=Y,"FC서울 기준 : 2승4무4패
인천유나이티드 기준 : 4승4무2패
<2024년 3월 10일 16시 (서울월드컵경기장)>
FC
서울 vs
인천
유나이티드
최근 10경기 동안 서울과의 승부에서 우위를 보인 인천
조성환 감독 킬러인 김기동 감독을 데려와 새판을 짠 서울
최소 4만명 이상의 관중 + 원정 인원 4천명 이상이라는
엄청난 분위기 속에서 과연 승리를 가져가는 팀은 누구일지
중계 > MBC / SKY SPORTS / 쿠팡플레이"
470639,K리그를 사랑하는 팬분들,일러스트,24.03.08,460,http://m.cafe.daum.net/rocksoccer/ADs2/470639?searchView=Y,"쿠팡플레이에 옐로 스피릿이라고 있는데
이거 꼭 봐보세요.
정효 감독님 개멋지네요 아진짜씨"
470351,"[K리그]쿠팡플레이, K리그 크리에이터 모집",Suwon22love,24.03.05,308,http://m.cafe.daum.net/rocksoccer/ADs2/470351?searchView=Y,
